2026/05/26 12:34:30 validator 0x345a09586a7a0d3e899219c7d32bcb6151f82768 enabled endpoint=http://localhost:8080 stake=0
2026/05/26 12:34:30 chain node listening on :8080
2026/05/26 12:34:35 produce block failed: not proposer turn
2026/05/26 12:34:40 produce block failed: not proposer turn
2026/05/26 12:34:45 produce block failed: not proposer turn
2026/05/26 12:34:50 produce block failed: not proposer turn
2026/05/26 12:34:55 produce block failed: not proposer turn
2026/05/26 12:35:00 produce block failed: not proposer turn
2026/05/26 12:35:05 produce block failed: not proposer turn
2026/05/26 12:35:10 produce block failed: not proposer turn
2026/05/26 12:35:15 produce block failed: not proposer turn
2026/05/26 12:35:20 produce block failed: not proposer turn
2026/05/26 12:35:25 produce block failed: not proposer turn
2026/05/26 12:35:30 produce block failed: not proposer turn
2026/05/26 12:35:35 produce block failed: not proposer turn
2026/05/26 12:35:40 produce block failed: not proposer turn
2026/05/26 12:35:45 produce block failed: not proposer turn
2026/05/26 12:35:50 produce block failed: not proposer turn
2026/05/26 12:35:55 produce block failed: not proposer turn
2026/05/26 12:36:00 produce block failed: not proposer turn
2026/05/26 12:36:05 produce block failed: not proposer turn
2026/05/26 12:36:10 produce block failed: not proposer turn
2026/05/26 12:36:15 produce block failed: not proposer turn
2026/05/26 12:36:20 produce block failed: not proposer turn
2026/05/26 12:36:25 produce block failed: not proposer turn
2026/05/26 12:36:30 produce block failed: not proposer turn
2026/05/26 12:36:35 produce block failed: not proposer turn
2026/05/26 12:36:40 produce block failed: not proposer turn
2026/05/26 12:36:45 produce block failed: not proposer turn
2026/05/26 12:36:50 produce block failed: not proposer turn
2026/05/26 12:36:55 produce block failed: not proposer turn
2026/05/26 12:37:00 produce block failed: not proposer turn
2026/05/26 12:37:05 produce block failed: not proposer turn
2026/05/26 12:37:10 produce block failed: not proposer turn
2026/05/26 12:37:15 produce block failed: not proposer turn
2026/05/26 12:37:20 produce block failed: not proposer turn
2026/05/26 12:37:25 produce block failed: not proposer turn
2026/05/26 12:37:30 produce block failed: not proposer turn
2026/05/26 12:37:35 produce block failed: not proposer turn
2026/05/26 12:37:40 produce block failed: not proposer turn
2026/05/26 12:37:45 produce block failed: not proposer turn
2026/05/26 12:37:50 produce block failed: not proposer turn
2026/05/26 12:37:55 produce block failed: not proposer turn
